"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"PUSL1","ENSG00000169972","protein_coding",126789,"1","SARS-CoV2 orf8"
"PVR","ENSG00000073008","protein_coding",5817,"19","SARS-CoV2 orf8"
"QSOX2","ENSG00000165661","protein_coding",169714,"9","SARS-CoV2 nsp7"
"RAB10","ENSG00000084733","protein_coding",10890,"2","SARS-CoV2 nsp7"
"RAB14","ENSG00000119396","protein_coding",51552,"9","SARS-CoV2 nsp7"
"RAB18","ENSG00000099246","protein_coding",22931,"10","SARS-CoV2 nsp7"
"RAB1A","ENSG00000138069","protein_coding",5861,"2","SARS-CoV2 nsp7"
"RAB2A","ENSG00000104388","protein_coding",5862,"8","SARS-CoV2 nsp7"
"RAB5C","ENSG00000108774","protein_coding",5878,"17","SARS-CoV2 nsp7"
"RAB7A","ENSG00000075785","protein_coding",7879,"3","SARS-CoV2 nsp7"
"RAB8A","ENSG00000167461","protein_coding",4218,"19","SARS-CoV2 nsp7"
"RAE1","ENSG00000101146","protein_coding",8480,"20","SARS-CoV2 orf6"
"RALA","ENSG00000006451","protein_coding",5898,"7","SARS-CoV2 nsp7"
"RAP1GDS1","ENSG00000138698","protein_coding",5910,"4","SARS-CoV2 nsp2"
"RBM28","ENSG00000106344","protein_coding",55131,"7","SARS-CoV2 N"
"RBM41","ENSG00000089682","protein_coding",55285,"X","SARS-CoV2 nsp12"
"RBX1","ENSG00000100387","protein_coding",9978,"22","SARS-CoV2 orf10"
"RDX","ENSG00000137710","protein_coding",5962,"11","SARS-CoV2 nsp13"
"REEP5","ENSG00000129625","protein_coding",7905,"5","SARS-CoV2 M"
"REEP6","ENSG00000115255","protein_coding",92840,"19","SARS-CoV2 M"
"RETREG3","ENSG00000141699","protein_coding",162427,"17","SARS-CoV2 orf9c"
"RHOA","ENSG00000067560","protein_coding",387,"3","SARS-CoV2 nsp7"
"RIPK1","ENSG00000137275","protein_coding",8737,"6","SARS-CoV2 nsp12"
"RNF41","ENSG00000181852","protein_coding",10193,"12","SARS-CoV2 nsp15"
"RPL36","ENSG00000130255","protein_coding",25873,"19","SARS-CoV2 N"
"RRP9","ENSG00000114767","protein_coding",9136,"3","SARS-CoV2 N"
"RTN4","ENSG00000115310","protein_coding",57142,"2","SARS-CoV2 M"
"SAAL1","ENSG00000166788","protein_coding",113174,"11","SARS-CoV2 M"
"SBNO1","ENSG00000139697","protein_coding",55206,"12","SARS-CoV2 nsp12"
"SCAP","ENSG00000114650","protein_coding",22937,"3","SARS-CoV2 orf9c"
"SCARB1","ENSG00000073060","protein_coding",949,"12","SARS-CoV2 nsp7"
"SCCPDH","ENSG00000143653","protein_coding",51097,"1","SARS-CoV2 nsp7"
"SDF2","ENSG00000132581","protein_coding",6388,"17","SARS-CoV2 orf8"
